Datum,Weihnachtsmarkt,Ferien,Ware_1,Ware_2,Ware_3,Ware_4,Ware_5,Ware_6,Gesamtumsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Feiertag,vor_feiertag,nach_feiertag,Wochentag_2,Wochentag_3,Wochentag_4,Wochentag_5,Wochentag_6,Wochentag_7,Wochentag_1,Monat_7,Monat_8,Monat_9,Monat_10,Monat_11,Monat_12,Monat_1,Monat_2,Monat_3,Monat_4,Monat_5,Monat_6,Temperaturklassen_normal,Temperaturklassen_warm,Temperaturklassen_kalt,Temperaturklassen_NA
2013-07-11,0,1,138.5493926,569.1093746,234.6580792,68.63302791,315.911757,17.87441988,1344.73605119,NA,0,21.375,12,5,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-12,0,1,101.4475115,600.2679147,290.1990978,74.27447379,362.8024896,41.7139881,1470.70547549,NA,0,20.2875,7,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-13,0,1,141.2333099,747.1407764,340.0466327,115.2716172,359.1661888,50.51858887,1753.37711387,NA,1,20.125,12,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-14,0,1,112.5243657,777.0488417,320.6268162,99.49353059,461.0821245,50.22661967,1821.00229836,NA,5,17.6875,15,5,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-07-15,0,1,161.2646773,596.9951,243.5264014,91.77969761,380.6836965,53.51925001,1527.76882282,NA,6,18.7375,12,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-07-16,0,1,116.8213582,558.7971383,287.415465,89.20584046,320.435336,51.12975147,1423.80488943,NA,1,21.1875,10,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-17,0,1,150.5729196,628.325719,301.777438,62.06360988,396.9942471,39.7377804,1579.47171398,NA,5,22.5125,8,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-18,0,1,101.9007213,647.8222537,250.4265869,69.93699655,300.3987901,62.36054481,1432.84589336,NA,1,23.25,11,5,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-19,0,1,161.6351152,646.7889598,287.1882863,82.68268688,369.4003893,41.35703354,1589.05247102,NA,3,22.475,16,5,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-20,0,1,134.3280767,843.05128,394.7656747,99.33539081,346.1540043,65.06169033,1882.69611684,NA,0,23.1875,8,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-21,0,1,66.28875782,815.9422642,346.6582364,70.52900246,287.4437885,44.83536114,1631.69741052,NA,0,26.375,8,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-22,0,1,131.223949,647.682749,297.7126144,83.58163269,356.4840672,61.00147082,1577.68648311,NA,0,26.1,9,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-23,0,1,110.3152468,691.0436622,323.3014317,65.89029797,316.2968171,72.24495281,1579.09240858,NA,0,24.95,12,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-24,0,1,141.8919082,698.3408621,328.0231025,53.19845623,327.3394007,37.95126488,1586.74499461,NA,3,24.075,11,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-25,0,1,167.7012166,681.2507683,280.809721,60.56145732,303.1925376,64.83333934,1558.34904016,NA,2,23.0875,9,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-26,0,1,147.2720844,718.0166481,352.2938833,68.12220209,331.5220918,61.95597236,1679.18288205,NA,3,27.2625,6,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-27,0,1,161.4033578,855.6190953,382.96588,51.27499929,358.8927145,70.06451701,1880.2205639,NA,1,26.1625,10,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-28,0,1,86.07914324,871.8025465,360.0961052,67.15688162,437.8247955,95.3284809,1918.28795296,NA,4,24.8875,13,61,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-29,0,1,183.5641644,672.5021452,356.0334347,69.70536042,368.9510291,111.0685128,1761.82464662,NA,1,22.7875,10,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-30,0,1,132.1116401,690.1177571,354.5317751,83.10941163,424.086157,60.84869789,1744.80543882,NA,5,21.075,13,21,NA,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-07-31,0,1,144.7454318,667.8422243,321.0759206,96.77209581,426.985804,90.70616381,1748.12764032,NA,5,20.275,16,65,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-01,0,1,157.854023,667.2137193,304.83031,81.48177972,322.2943072,91.45267014,1625.12680936,NA,6,23.4,7,21,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-02,0,1,117.3593421,689.695101,379.5267007,59.98111236,282.3715172,87.95697893,1616.89075229,NA,0,31.4375,7,NA,NA,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-03,0,1,186.0271788,930.8017032,454.7057808,60.70878576,399.2833164,60.39736792,2091.92413288,NA,4,23.3625,11,63,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-04,0,0,104.7082167,862.752429,382.8564875,97.74061664,461.704849,90.62259928,2000.38519812,NA,3,23.05,8,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-05,0,0,146.7753099,520.9471798,331.6153554,113.8636419,354.2472434,76.7475145,1544.1962449,NA,0,25.8,10,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-06,0,0,131.9562774,498.9209483,344.1048067,105.5678652,441.521507,143.9154506,1665.9868552,NA,5,22.225,13,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-07,0,0,160.5934173,519.1972047,341.4835446,59.75610206,423.8503182,44.00777521,1548.88836207,NA,4,19.2125,8,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-08-08,0,0,153.0994246,486.2550954,298.0055198,75.25646196,464.87537150000003,82.46528423,1559.95715749,NA,7,16.975,12,20,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-08-09,0,0,125.6203444,539.9751551,328.2299243,96.52931351,450.0859875,65.97313118,1606.41385599,NA,4,20.3375,10,21,NA,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-10,0,0,185.1771627,614.5118307,351.6170292,150.1223969,450.9933371,49.60360031,1802.02535691,NA,7,19.3625,12,61,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-08-11,0,0,73.208833,666.9113082,341.03303,107.4079993,583.4917178,128.1692903,1900.2221786,NA,7,16.3875,9,61,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-08-12,0,0,154.5047295,510.0191265,253.6233555,64.50225653,356.0263417,70.40790486,1409.08371459,NA,7,16.45,11,63,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-08-13,0,0,134.0644515,535.4032128,271.5912838,65.92101193,344.6434639,80.11791412,1431.74133805,NA,3,16.4,16,95,NA,NA,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-08-14,0,0,156.9725105,520.1235907,309.1162903,111.1443014,441.2531118,41.62718183,1580.23698653,NA,4,18.2625,18,61,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-08-15,0,0,164.7637954,538.2312628,266.5754089,94.22729029,416.6100378,85.97356693,1566.38136212,NA,3,19.8,8,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-08-16,0,0,147.7979976,552.1537146,241.7689751,124.7374644,344.4686294,67.86220274,1478.78898384,NA,4,23.575,11,0,NA,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-17,0,0,221.630418,583.6574342,280.1700458,141.0668884,519.8349294,36.82447637,1783.18419217,NA,6,20.55,7,0,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-18,0,0,92.48977851,669.1862115,282.5997861,104.4488589,479.4995417,104.8803521,1733.10452881,NA,7,18.5875,10,63,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-08-19,0,0,145.8791328,499.9125129,249.3911609,89.33980681,374.2471171,90.08324467,1448.85297518,NA,5,18.4875,8,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-08-20,0,0,111.8423961,478.7302972,257.6207997,87.51604589,340.09036,99.81551164,1375.61541053,NA,7,17.775,8,61,NA,NA,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-08-21,0,0,125.3365227,440.8156365,271.1334421,67.17513197,352.6953242,114.6624541,1371.81851157,NA,5,20.125,8,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-22,0,0,132.9164282,497.7313382,229.3234356,77.93530681,343.3489336,47.65015114,1328.90559355,NA,4,21.6625,8,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-23,0,0,162.9589587,503.6720895,260.9261958,86.007728,375.3175677,60.50013494,1449.38267464,NA,1,22.0375,14,NA,NA,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-24,0,0,201.5431096,707.9442973,282.4018696,139.7769928,536.196772,69.50403865,1937.36707995,NA,0,20.85,16,5,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-25,0,0,83.02267257,726.2576495,360.8170012,97.55772911,495.1943349,89.47066909,1852.32005637,NA,0,21.3875,16,5,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-26,0,0,165.8290317,451.5367408,244.9363705,66.70421854,368.7257685,66.4826351,1364.21476514,NA,0,20.125,15,5,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-27,0,0,118.4736504,442.3183521,251.0530432,102.369989,305.7720044,98.55354954,1318.54058864,NA,1,21.0875,12,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-28,0,0,108.8769914,418.2979412,225.8781947,64.7180978,349.3909731,74.71380699,1241.87600519,NA,0,21.3,7,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-29,0,0,178.1780238,386.3902677,198.7764073,79.67169529,396.4546128,109.8276627,1349.29866959,NA,3,20.2125,11,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-08-30,0,0,133.1508285,492.1412652,184.2523348,65.01281972,343.3456866,61.36878209,1279.27171691,NA,6,19.7875,8,5,NA,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-08-31,0,0,130.8213149,581.4905378,265.4108076,115.8689513,344.0966189,34.5569447,1472.2451752,NA,5,18.35,16,21,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-01,0,0,95.97043149,481.5848296,239.5450841,78.43214464,400.3752516,30.17182945,1326.07957088,NA,7,15.8625,16,61,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-02,0,0,138.4087232,350.0234328,165.8847946,75.3207374,236.082417,40.86384615,1006.58395115,NA,7,16.575,17,63,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-03,0,0,138.8256189,357.4012857,174.6554913,84.17436827,270.3501239,35.62019747,1061.02708554,NA,7,18.225,11,21,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-04,0,0,100.2219695,362.2493717,162.8374384,79.9069126,308.6705065,23.09774665,1036.98394535,NA,7,18.125,5,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-05,0,0,173.6581003,400.9501052,155.7955278,60.0423801,309.0221506,47.82832145,1147.29658545,NA,0,21.7,8,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-09-06,0,0,171.4151797,395.673297,183.3727801,68.63167289,307.0194156,38.09653779,1164.20888308,NA,0,24.7,9,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-09-07,0,0,186.034061,591.5235477,215.3390229,150.9471169,447.9917457,39.35865068,1631.19414488,NA,6,22.7625,7,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-09-08,0,0,88.89259581,576.0406993,261.7239254,68.50949244,453.7923001,35.96570881,1484.92472186,NA,7,20.1625,8,61,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-09-09,0,0,169.3599685,331.981294,155.6989989,88.04324019,266.7401855,44.19530363,1056.01899072,NA,8,11.575,11,63,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-10,0,0,89.69445361,363.6678291,186.6318855,81.9233276,272.0857849,54.44425709,1048.4475378,NA,6,13.5875,11,65,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-11,0,0,103.3636866,350.8138079,156.9938342,56.2795005,266.2837425,38.5545767,972.2891484,NA,6,13.9,8,61,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-12,0,0,106.4744,354.2825932,128.9575311,87.49526616,291.2971157,23.94275386,992.44966002,NA,6,16.1125,6,61,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-13,0,0,122.5646262,413.0418644,142.4509223,48.27822477,306.3134003,51.4135956,1084.06263357,NA,6,17.4375,5,21,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-14,0,0,174.9388075,530.8251026,230.5242499,181.0718257,383.0833734,44.90440907,1545.34776817,NA,5,17.625,10,63,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-15,0,0,55.19600623,494.9081851,199.5258192,72.86389898,368.2355193,58.39794578,1249.12737459,NA,7,14.8625,10,21,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-16,0,0,146.7602349,363.7019178,150.4580786,91.9109697,230.653426,25.30769024,1008.79231724,NA,3,13.1375,13,21,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-17,0,0,136.1180445,321.0548813,121.6014191,83.27544666,320.526447,60.71732015,1043.29355871,NA,5,13.1375,10,63,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-18,0,0,152.2550852,327.4137134,123.4304753,52.94188172,273.5407717,26.79544191,956.37736923,NA,4,13.05,9,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-19,0,0,148.6749921,362.273757,127.5954367,93.94406707,300.2623761,66.26923163,1099.0198606,NA,5,14.8375,11,63,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-20,0,0,110.1592503,375.1682908,119.9955679,98.43757742,377.4035008,60.30463042,1141.46881764,NA,7,13.525,6,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-21,0,0,178.2638879,525.0140978,227.1781251,148.9391022,320.9600545,63.2351829,1463.5904504,NA,7,15.35,9,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-22,0,0,86.66689738,500.5796178,216.0255975,98.18606762,359.9953803,59.03154643,1320.48510703,NA,6,17.1375,14,21,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-23,0,0,111.1284106,339.4177387,115.1739491,67.65499092,293.8817817,41.75995043,969.01682145,NA,7,17.3125,14,21,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-24,0,0,139.6414458,314.0046618,107.5153113,119.8131275,261.6018338,74.00882958,1016.58520978,NA,8,15.7375,10,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-25,0,0,117.9411933,333.9646879,133.4553571,148.9946527,298.2842604,19.77835545,1052.41850685,NA,6,13.5375,7,61,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-26,0,0,203.3143452,348.8625096,111.33144,74.56206144,287.7935336,29.26200266,1055.1258925,NA,1,12.9875,12,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-27,0,0,135.5072917,337.8946471,102.1878641,66.20325188,283.2060619,56.22745791,981.22657459,NA,5,13.0125,8,21,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-28,0,0,134.6137568,578.1568741,247.9958262,129.9521999,290.8488789,88.9610412,1470.5285771,NA,0,13.1,8,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-29,0,0,68.6316897,503.1551995,194.9861114,70.20082262,304.830464,35.07372872,1176.87801594,NA,3,14.175,12,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-09-30,0,0,156.502436,360.8271061,141.9928653,73.2079832,331.1543569,52.37183628,1116.05658378,NA,1,12.825,14,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-01,0,0,123.3975401,356.8160795,135.6145941,101.8926896,351.5909914,40.76311234,1110.07500704,NA,0,12.9125,13,5,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-02,0,0,196.7209692,423.6881735,156.465804,70.9668373,322.8803004,62.04554627,1232.76763067,NA,1,12.7,10,NA,NA,1,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-03,0,0,75.23373024,592.5672113,192.2933113,75.30240747,440.8981161,66.33349453,1442.62827094,NA,0,11.7625,12,5,1,NA,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-04,0,1,156.0661226,501.3479488,179.3015519,85.83394679,280.7563835,63.8333928,1267.13934639,NA,5,11.2,8,63,NA,NA,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-05,0,1,152.2807621,532.4966214,225.9100667,149.250845,326.9931649,87.77473667,1474.70619677,NA,7,15.575,8,20,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-06,0,1,92.48057727,534.597185,225.3468198,52.46099878,340.7012031,96.26410655,1341.8508905,NA,7,15.25,6,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-07,0,1,124.841544,372.4523018,146.8020106,93.05787712,318.4816606,73.73618618,1129.3715803,NA,1,16.275,7,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-08,0,1,96.86710098,324.6166156,179.7180763,91.15159146,245.6569231,69.37294853,1007.38325597,NA,6,15.1125,8,61,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-09,0,1,149.7617589,369.5406185,153.104644,85.61885861,260.8312423,83.86564326,1102.72276557,NA,7,14.3125,10,21,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-10,0,1,119.300285,349.1494909,157.4914531,65.01769829,266.1567335,77.7390715,1034.85473229,NA,5,10.975,6,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-11,0,1,123.2348187,349.1129778,166.0219603,61.58908062,229.0723094,67.78720341,996.81835023,NA,7,13.8625,20,10,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-12,0,1,140.2624217,425.0708046,204.7486976,124.018842,273.2215953,86.13903881,1253.46140001,NA,8,13.025,21,63,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-13,0,1,42.99679263,452.2757064,187.1652999,71.24436384,248.357763,172.8659849,1174.90591067,NA,5,10.8625,5,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-14,0,1,109.8637443,328.2551168,155.6681754,96.99230948,270.4197189,81.80692074,1043.00598562,NA,2,12.525,6,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-15,0,1,130.4318026,354.8854149,127.2842376,94.6638762,219.9417508,67.11015122,994.31723332,NA,7,10.6625,4,63,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-16,0,1,146.0705835,324.7575293,143.1480865,95.99951402,288.9182581,72.96587646,1071.85984788,NA,8,12.275,7,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-17,0,1,89.94118379,324.9826413,138.523531,70.05323657,244.4288716,117.5683488,985.49781306,NA,7,12,15,65,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
