"","Datum","Wochentag","Monat","Weihnachtsmarkt","Ferien","Ware_1","Ware_2","Ware_3","Ware_4","Ware_5","Ware_6","Gesamtumsatz","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","Feiertag","vor_feiertag","nach_feiertag","Temperaturklassen"
"563",2015-01-14,4,1,0,0,72.79183982,229.3841462,99.41592369,329.6365537,235.4917839,0,966.72024731,0,6,3.125,16,71,0,0,0,"kalt"
"1812",2018-06-16,7,6,0,0,165.2408259,536.4523483,249.7559996,71.96402231,209.3620829,0,1232.77527901,1,5,21.325,7,95,0,0,0,"warm"
"97",2013-10-05,7,10,0,1,152.2807621,532.4966214,225.9100667,149.250845,326.9931649,87.77473667,1474.70619677,0,7,15.575,8,20,0,0,0,"normal"
"934",2016-01-20,4,1,0,0,79.13534731,233.0085428,107.3034007,59.77888257,200.8261114,0,680.05228478,0,7,-1.625,8,28,0,0,0,"kalt"
"1685",2018-02-09,6,2,0,0,136.9878681,233.5176443,101.2518656,71.39422402,286.3239384,0,829.47554042,0,1,-0.2625,7,10,0,0,0,"kalt"
"257",2014-03-14,6,3,0,0,123.9120837,309.2674721,124.4581186,114.2151693,250.2929644,28.01121479,950.15702289,0,1,9.6125,10,0,0,0,0,"kalt"
"1182",2016-09-24,7,9,0,0,124.76038,382.8846613,147.4034473,56.57341841,236.6849789,0,948.30688591,0,0,18.625,6,0,0,0,0,"normal"
"435",2014-09-08,2,9,0,0,177.3612611,362.9435036,181.4813065,121.0291743,235.0738029,0,1077.8890484,0,4,17.375,12,21,0,0,0,"normal"
"269",2014-03-26,4,3,0,0,164.0737099,316.014622,102.5145883,58.9219511,274.4994421,66.10806726,982.13238066,0,5,7.85,11,21,0,0,0,"kalt"
"1585",2017-11-01,4,11,0,0,159.9095587,333.7757639,150.7855463,75.13395749,225.0464558,0,944.65128219,0,0,12.975,12,0,0,0,1,"normal"
"1883",2018-08-26,1,8,0,0,116.0377174,527.488146,335.6139712,86.14753473,425.1859629,0,1490.47333223,0,3,16.9875,12,21,0,0,0,"normal"
"788",2015-08-27,5,8,0,1,141.9117799,413.8859885,189.0800531,65.48026935,302.4913897,0,1112.84948055,0,6,18.125,12,61,0,0,0,"normal"
"1398",2017-04-28,6,4,0,0,125.4569818,307.7049831,91.6206158,74.28811823,239.9657678,0,839.03646673,0,7,8.625,10,61,0,0,0,"kalt"
"200",2014-01-16,5,1,0,0,117.7791197,280.2757819,96.86347111,105.6767257,217.5774303,20.6776721,838.85020081,0,8,2.7375,9,63,0,0,0,"kalt"
"806",2015-09-14,2,9,0,0,133.5108321,344.4448312,114.5211754,88.96706903,268.5474509,0,949.99135863,0,7,17.625,6,63,0,0,0,"normal"
"576",2015-01-27,3,1,0,0,141.5187927,286.8020252,127.2298955,104.6068532,259.8950217,0,920.0525883,0,2,4.875,13,0,0,0,0,"kalt"
"1709",2018-03-05,2,3,0,0,119.6768277,236.272836,89.98280378,81.87101214,205.9280402,0,733.73151982,0,5,5.9875,7,10,0,0,0,"kalt"
"941",2016-01-27,4,1,0,0,86.55092892,226.3250229,104.4966188,76.67507307,219.9911703,0,714.03881399,0,7,10.375,15,61,0,0,0,"normal"
"1698",2018-02-22,5,2,0,0,124.9097757,258.0228635,75.8400484,81.6569741,193.023042,0,733.4527037,0,7,1.1125,7,20,0,0,0,"kalt"
"1702",2018-02-26,2,2,0,0,86.30756338,228.5504224,62.71948807,86.08343215,211.6249883,0,675.2858943,0,5,-1.5375,18,0,0,0,0,"kalt"
"1663",2018-01-18,5,1,0,0,111.7885224,227.2799788,72.25327026,83.6944634,221.5202139,0,716.53644876,0,7,1.1625,17,73,0,0,0,"kalt"
"921",2016-01-07,5,1,0,0,155.4563299,231.1572214,89.79863609,60.21697058,211.9592677,0,748.58842567,0,7,-4,13,22,0,0,0,"kalt"
"1578",2017-10-25,4,10,0,1,112.8680996,285.0581914,99.20549134,81.22717274,237.5705802,0,815.92953528,0,7,14.225,16,61,0,0,0,"normal"
"1316",2017-02-05,1,2,0,0,57.45327456,374.0842574,126.8422768,72.05810717,244.404284,0,874.84219993,0,8,2,10,61,0,0,0,"kalt"
"1484",2017-07-23,1,7,0,0,60.48089328,607.2724415,270.892805,96.01964305,309.722661,0,1344.38844383,0,6,19.375,12,61,0,0,0,"normal"
"2",2013-07-02,3,7,0,1,159.7937571,546.7807874,265.261254,74.54391718,383.6286816,16.41087593,1446.41927321,0,3,17.3125,10,0,0,0,0,"normal"
"992",2016-03-18,6,3,0,0,107.7701078,271.2549454,83.27320582,61.9345961,310.2486225,0,834.48147762,0,8,5.375,9,21,0,0,0,"kalt"
"2124",2019-04-24,4,4,0,0,153.9405905,430.9639401,187.4360896,0,265.6169505,0,1037.9575707,0,2,17.65,10,21,0,0,0,"normal"
"792",2015-08-31,2,8,0,0,161.4507185,393.6174214,189.2811473,93.6685371,196.3105563,0,1034.3283806,0,3,21.875,8,65,0,0,0,"warm"
"1278",2016-12-29,5,12,0,1,281.8090358,412.3456924,128.1927866,72.25933508,229.505612,0,1124.11246188,0,3,3.75,11,10,0,0,0,"kalt"
"733",2015-07-03,6,7,0,0,144.9518133,432.8882873,160.2047023,90.67628814,294.9708761,0,1123.69196714,0,1,25.625,10,0,0,0,0,"warm"
"232",2014-02-17,2,2,0,0,139.563932,329.6903662,102.6445979,105.7734464,259.5527879,110.7724385,1047.9975689,0,0,6.6875,9,0,0,0,0,"kalt"
"507",2014-11-19,4,11,0,0,131.2620241,289.9092585,116.0913626,78.57551317,218.3168948,0,834.15505317,0,7,8.5,11,61,0,0,0,"kalt"
"1390",2017-04-20,5,4,0,1,145.3103651,379.0988959,158.4435756,63.39947627,277.7468722,0,1023.99918507,0,7,8.25,12,0,0,0,0,"kalt"
"869",2015-11-16,2,11,0,0,105.4264942,257.9120875,98.61302135,55.44243708,244.0493862,0,761.44342633,0,7,12.25,12,53,0,0,0,"normal"
"1638",2017-12-24,1,12,0,1,168.2278859,578.9959388,187.9674201,138.7696905,199.9101088,0,1273.8710441,0,7,8.1125,16,61,0,1,0,"kalt"
"214",2014-01-30,5,1,0,0,140.7941942,268.1872993,79.58369682,198.39494,264.2565853,94.93657723,1046.15329285,0,7,-4.4875,8,77,0,0,0,"kalt"
"903",2015-12-20,1,12,1,0,51.7103695,368.7965584,97.37540255,112.8193763,190.8381439,0,821.53985065,0,5,12.5,9,0,0,0,0,"normal"
"2044",2019-02-03,1,2,0,0,64.17842692,447.7957724,234.5312957,84.9033616,366.7041301,0,1198.11298672,0,1,2.5,9,0,0,0,0,"kalt"
"1853",2018-07-27,6,7,0,1,198.2255226,677.4158443,333.7740986,110.6458318,297.8678529,0,1617.9291502,0,0,27.5875,16,5,0,0,0,"warm"
"1838",2018-07-12,5,7,0,1,207.87934,528.5823122,225.7768651,59.43645449,284.6856699,0,1306.36064169,0,1,26.075,14,0,0,0,0,"warm"
"363",2014-06-28,7,6,0,0,234.3689635,861.8586169,396.5124111,65.17588931,498.1335522,0,2056.04943301,1,6,16.9625,6,95,0,0,0,"normal"
"271",2014-03-28,6,3,0,0,210.3645891,373.1938924,132.8392811,138.4256939,333.1419693,148.3181039,1336.2835297,0,8,5.4,12,10,0,0,0,"kalt"
"1352",2017-03-13,2,3,0,0,120.0532954,242.4645121,97.59397455,126.9472414,172.6249914,0,759.68401485,0,7,6.625,7,5,0,0,0,"kalt"
"711",2015-06-11,5,6,0,0,82.23944932,357.8528933,121.5509893,61.00120819,223.0662428,0,845.71078291,0,1,16,10,0,0,0,0,"normal"
"1359",2017-03-20,2,3,0,0,97.34891471,225.4386958,73.02426087,165.7879437,183.2651332,0,744.86494828,0,7,10.25,8,61,0,0,0,"normal"
"663",2015-04-24,6,4,0,0,93.85397627,311.721137,102.1720511,86.64655291,212.7424038,0,807.13612108,0,2,13.875,9,20,0,0,0,"normal"
"388",2014-07-23,4,7,0,1,144.3919303,588.6045018,287.6336152,142.1464413,299.9754192,0,1462.7519078,0,0,25,14,0,0,0,0,"warm"
"1616",2017-12-02,7,12,1,0,127.0825167,288.536116,127.4055587,118.5313301,213.2555985,0,874.81112,0,7,0.375,8,61,0,0,0,"kalt"
"194",2014-01-10,6,1,0,0,119.0555406,286.4827217,95.58155606,201.1915175,218.4971248,37.97758324,958.7860439,0,7,6.6375,17,61,0,0,0,"kalt"
"963",2016-02-18,5,2,0,0,130.0164783,328.4491754,101.6525571,188.2274327,290.7884988,0,1039.1341423,0,5,1.875,6,10,0,0,0,"kalt"
"1055",2016-05-20,6,5,0,0,142.315045,349.4532476,134.0030834,73.80399931,293.4448568,0,993.02023211,0,8,14.75,11,61,0,0,0,"normal"
"1237",2016-11-18,6,11,0,0,125.6202316,251.9404272,64.31707264,114.5238874,181.2460638,0,737.64768264,0,4,7.25,13,21,0,0,0,"kalt"
"686",2015-05-17,1,5,0,0,63.05558765,562.6482321,174.9789269,71.14995822,293.2755322,0,1165.10823707,0,3,12.625,17,21,0,0,0,"normal"
"1007",2016-04-02,7,4,0,1,87.39442074,436.2780403,189.1331942,80.16619066,247.6612678,0,1040.6331137,0,3,12.75,8,0,0,0,0,"normal"
"1965",2018-11-16,6,11,0,0,132.0611709,253.8444147,106.5701133,59.22225063,226.3964854,0,778.09443493,0,0,8.2625,7,10,0,0,0,"kalt"
"994",2016-03-20,1,3,0,0,60.15807,527.5154419,184.1662612,83.25527682,351.5345225,0,1206.62957242,0,6,8.625,15,61,0,0,0,"kalt"
"1831",2018-07-05,5,7,0,0,116.9120479,459.3504871,218.0557118,80.37584881,326.454338,0,1201.14843361,0,7,17.5,12,20,0,0,0,"normal"
"1880",2018-08-23,5,8,0,0,196.983337,477.1358058,222.938078,89.9338,283.2530732,0,1270.244094,0,5,22.575,11,5,0,0,0,"warm"
"1251",2016-12-02,6,12,1,0,94.50387244,251.175708,77.27144333,150.612189,166.9534095,0,740.51662227,0,0,3.625,8,0,0,0,0,"kalt"
"844",2015-10-22,5,10,0,1,120.599207,409.1015209,151.8700376,136.7731935,235.619117,0,1053.963076,0,7,12.25,10,61,0,0,0,"normal"
"302",2014-04-28,2,4,0,1,142.899118,406.09716,134.8550021,83.96818236,204.9612911,47.84142561,1020.62217917,0,0,15.8875,11,0,0,0,0,"normal"
"1919",2018-10-01,2,10,0,1,192.3553632,397.4498761,168.339799,99.60097759,320.5984579,0,1178.34447379,0,5,11.1625,12,21,0,0,0,"normal"
"618",2015-03-10,3,3,0,0,120.0535489,279.6499612,130.3254548,78.23712042,232.5383948,0,840.80448012,0,3,9.5,13,10,0,0,0,"kalt"
"125",2013-11-02,7,11,0,0,149.172348,433.4114755,196.1559913,76.17066349,225.6609268,79.68408246,1160.25548755,0,8,8.8875,3,63,0,0,0,"kalt"
"1941",2018-10-23,3,10,0,0,120.2018846,336.4841432,140.5876519,77.25962478,235.7147154,0,910.24801988,0,7,11.925,23,63,0,0,0,"normal"
"1476",2017-07-15,7,7,0,0,161.3682436,671.1687382,245.417482,76.53359836,285.5645765,0,1440.05263866,0,7,18.75,10,21,0,0,0,"normal"
"292",2014-04-18,6,4,0,0,0,0,0,0,0,0,0,0,7,8.2375,11,61,1,0,0,"kalt"
"1124",2016-07-28,5,7,0,1,164.3542958,589.8184726,339.7721205,65.53289537,319.5520659,0,1479.02985017,0,4,21.25,7,20,0,0,0,"warm"
"1951",2018-11-02,6,11,0,0,107.2568441,271.9903991,122.1010437,69.70753442,259.9988421,0,831.05466342,0,6,10.675,12,61,0,0,1,"normal"
"1197",2016-10-09,1,10,0,0,53.31560878,496.8109744,181.6931823,73.03185773,204.5645665,0,1009.41618971,0,7,9.125,10,61,0,0,0,"kalt"
"827",2015-10-05,2,10,0,0,160.7294473,377.2658382,139.5079025,147.3892051,327.1224655,0,1152.0148586,0,0,16.5,5,10,0,0,0,"normal"
"1323",2017-02-12,1,2,0,0,44.55735209,416.3792131,132.9930315,100.271587,254.5716884,0,948.77287209,0,8,0.375,17,10,0,0,0,"kalt"
"653",2015-04-14,3,4,0,1,95.7358791,297.4781961,114.7094861,59.55079293,241.7946633,0,809.26901753,0,7,10.75,17,61,0,0,0,"normal"
"628",2015-03-20,6,3,0,0,125.0784929,299.7604791,94.56323372,168.4645439,339.0558564,0,1026.92260602,0,7,5,9,45,0,0,0,"kalt"
"448",2014-09-21,1,9,0,0,80.58591422,602.7113586,252.0128127,71.6775463,402.9899358,0,1409.97756762,0,4,17,15,21,0,0,0,"normal"
"753",2015-07-23,5,7,0,1,203.2641253,600.4140191,247.8263037,61.85583383,261.951425,0,1375.31170693,0,5,18.375,12,61,0,0,0,"normal"
"2004",2018-12-25,3,12,0,0,0,0,0,0,0,0,0,0,7,6.3625,16,0,1,1,0,"kalt"
"2132",2019-05-02,5,5,0,0,189.2730593,376.4990293,165.2054966,0,309.5847734,0,1040.5623586,0,7,8.95,16,61,0,0,1,"kalt"
"186",2014-01-02,5,1,0,1,153.1664922,449.4182193,142.3079707,66.70968586,257.5258944,50.76081337,1119.88907583,0,7,6.25,9,63,0,0,1,"kalt"
"289",2014-04-15,3,4,0,0,109.4725486,460.8010745,190.120642,92.49369719,335.143031,78.4614876,1266.49248089,0,0,9.9125,15,0,0,0,0,"kalt"
"1403",2017-05-03,4,5,0,0,118.3260861,284.6828355,119.1068724,94.28090425,219.0505763,0,835.44727455,0,3,11.25,20,5,0,0,0,"normal"
"1258",2016-12-09,6,12,1,0,81.54521248,240.5022423,81.35624813,156.1458282,158.6410625,0,718.19059361,0,7,8.875,13,20,0,0,0,"kalt"
"1810",2018-06-14,5,6,0,0,185.3713079,332.550472,107.1362709,103.7726749,232.5537106,0,961.3844363,0,5,20.9,10,0,0,0,0,"warm"
"1366",2017-03-27,2,3,0,0,162.6602073,281.6581523,105.1191146,81.24193873,178.2027169,0,808.88212983,0,0,12.5,11,10,0,0,0,"normal"
"1495",2017-08-03,5,8,0,1,159.5753402,483.0682316,290.5004886,74.31414596,284.0670564,0,1291.52526276,0,7,20.125,10,95,0,0,0,"warm"
"1057",2016-05-22,1,5,0,0,44.06645245,399.2726217,194.0322108,76.90070149,296.0417388,0,1010.31372524,0,1,25,9,0,0,0,0,"warm"
"1337",2017-02-26,1,2,0,0,51.78036187,428.9135861,158.0973636,79.56110363,285.7711336,0,1004.1235488,0,7,7.5,11,61,0,0,0,"kalt"
"1665",2018-01-20,7,1,0,0,115.6908815,295.0069424,86.03764995,89.71339398,295.6115869,0,882.06045473,0,8,1.75,7,61,0,0,0,"kalt"
"1592",2017-11-08,4,11,0,0,79.25577906,231.5683344,80.28833843,106.3179617,158.4712605,0,655.90167409,0,0,8.625,9,0,0,0,0,"kalt"
"1983",2018-12-04,3,12,1,0,130.7386229,215.9993412,88.33611084,77.71942278,189.5571778,0,702.35067552,0,1,5.442857,14,21,0,0,0,"kalt"
"889",2015-12-06,1,12,1,0,60.03426302,491.7458314,127.2444304,71.83869154,219.7697227,0,970.63293906,0,7,10.875,19,20,0,0,0,"normal"
"630",2015-03-22,1,3,0,0,71.57114815,489.5993455,124.2888181,108.9315006,379.0219221,0,1173.41273445,0,0,4.375,8,0,0,0,0,"kalt"
"828",2015-10-06,3,10,0,0,174.298357,354.9615779,191.0478725,92.33543245,262.0969184,0,1074.74015825,0,7,14.875,14,10,0,0,0,"normal"
"22",2013-07-22,2,7,0,1,131.223949,647.682749,297.7126144,83.58163269,356.4840672,61.00147082,1577.68648311,0,0,26.1,9,0,0,0,0,"warm"
"372",2014-07-07,2,7,0,0,142.2413585,464.4350466,178.2491251,130.3421348,250.7011,0,1165.968765,0,5,20.8,10,0,0,0,0,"warm"
"1700",2018-02-24,7,2,0,0,131.8593372,301.8468245,129.618922,81.30624833,271.4009236,0,916.03225563,0,6,0.125,15,71,0,0,0,"kalt"
"467",2014-10-10,6,10,0,0,132.3170202,472.0689573,240.8132122,67.02086431,350.0913052,0,1262.31135921,0,4,16.375,10,0,0,0,0,"normal"
"482",2014-10-25,7,10,0,1,191.4253166,546.5096653,247.1299527,61.48076961,307.4481434,0,1353.99384761,0,7,12.125,7,61,0,0,0,"normal"
"155",2013-12-02,2,12,1,0,113.9314987,278.6649272,112.7295102,62.75265585,200.8808292,90.10186535,859.0612865,0,0,3.0625,4,10,0,0,0,"kalt"
"495",2014-11-07,6,11,0,0,125.325835,352.0717395,147.5713925,40.97795819,331.3740938,0,997.32101899,0,0,8.625,9,10,0,0,0,"kalt"
"1474",2017-07-13,5,7,0,0,165.6925364,460.2946112,189.5807275,88.51147309,250.9685352,0,1155.04788339,0,6,16.875,15,0,0,0,0,"normal"
"1705",2018-03-01,5,3,0,0,121.6720686,202.3536643,97.75272938,61.40839013,249.9420307,0,733.12888311,0,6,-3.95,18,71,0,0,0,"kalt"
"1001",2016-03-27,1,3,0,1,92.20093919,684.1711627,189.788106,221.3775488,321.2385516,0,1508.77630829,0,7,8.625,12,61,1,1,0,"kalt"
"780",2015-08-19,4,8,0,1,114.3370198,490.6740672,253.3578293,65.72788594,320.0084807,0,1244.10528294,0,3,19.625,8,5,0,0,0,"normal"
"2013",2019-01-03,5,1,0,1,115.1059978,377.4091241,160.4456635,108.8173773,303.5521465,0,1065.3303092,0,2,0.725,6,0,0,0,0,"kalt"
"223",2014-02-08,7,2,0,0,120.8627398,444.8812041,149.9558025,57.84853861,305.0580897,125.0109606,1203.61733531,0,7,6.2875,12,61,0,0,0,"kalt"
"783",2015-08-22,7,8,0,1,192.3100039,702.9318555,323.6680066,43.17464831,356.4563443,0,1618.54085861,0,0,23.5,12,0,0,0,0,"warm"
"1147",2016-08-20,7,8,0,1,168.3830749,727.8281386,383.2986678,74.08033376,381.5646475,0,1735.15486256,0,7,20.25,9,61,0,0,0,"warm"
"2106",2019-04-06,7,4,0,1,221.5449726,454.6636479,182.5825809,0,244.4445941,0,1103.2357955,0,0,12.7625,10,10,0,0,0,"normal"
"891",2015-12-08,3,12,1,0,81.92085776,259.237368,94.02093781,74.58349353,210.7495458,0,720.5122029,0,0,10.75,8,0,0,0,0,"normal"
"437",2014-09-10,4,9,0,0,173.5462996,400.8311997,166.4159614,93.08572254,300.9688407,0,1134.84802394,0,2,18.625,12,0,0,0,0,"normal"
"1006",2016-04-01,6,4,0,1,126.5782807,369.569826,111.8150064,96.08579803,288.461518,0,992.51042913,0,0,9.125,7,0,0,0,0,"kalt"
"708",2015-06-08,2,6,0,0,118.6200105,344.6955698,151.0800498,63.94649156,304.6589918,0,983.00111346,0,6,14.375,12,0,0,0,0,"normal"
"1300",2017-01-20,6,1,0,0,87.17668188,246.6188364,75.05146156,75.39490018,194.7507879,0,678.99266792,0,8,3.625,5,21,0,0,0,"kalt"
"749",2015-07-19,1,7,0,0,72.79126161,713.9487589,298.3560802,86.62247215,366.6402101,0,1538.35878296,0,7,14.5,5,63,0,0,0,"normal"
"710",2015-06-10,4,6,0,0,109.6726005,338.3094878,108.4169229,71.22227411,245.4624843,0,873.08376961,0,0,18,7,0,0,0,0,"normal"
"1066",2016-05-31,3,5,0,0,98.91164625,336.9676088,75.12253953,115.4118201,240.708336,0,867.12195068,0,1,20.625,13,0,0,0,0,"warm"
"1477",2017-07-16,1,7,0,0,83.44644542,596.1675925,285.6598389,92.2892966,312.0899562,0,1369.65312962,0,8,17.375,9,61,0,0,0,"normal"
"441",2014-09-14,1,9,0,0,60.59606585,567.7003257,225.776419,95.55433242,308.1847125,0,1257.81185547,0,7,17.625,14,61,0,0,0,"normal"
"823",2015-10-01,5,10,0,0,111.7366247,335.0457445,112.8908996,49.67383575,222.9460563,0,832.29316085,0,1,14.75,9,0,0,0,0,"normal"
"530",2014-12-12,6,12,1,0,109.1426717,236.1447543,87.45462261,68.55904517,173.9221253,0,675.22321908,0,7,7.25,18,61,0,0,0,"kalt"
