"","Datum","Wochentag","Sonntag","Samstag","Monat","Weihnachtsmarkt","Feiertage","Ferien","Monat_1","Ware_1","Ware_2","Ware_3","Ware_4","Ware_5","Ware_6","Gesamtumsatz","weihnachtsfeiertag_25","weihnachtsfeiertag_26","weihnachtsfeiertag_27","neujahrstage"
"16",2013-07-16,3,0,0,7,0,0,1,7,116.8213582,558.7971383,287.415465,89.20584046,320.435336,51.12975147,1423.804889,NA,NA,NA,NA
"17",2013-07-17,4,0,0,7,0,0,1,7,150.5729196,628.325719,301.777438,62.06360988,396.9942471,39.7377804,1579.471714,NA,NA,NA,NA
"18",2013-07-18,5,0,0,7,0,0,1,7,101.9007213,647.8222537,250.4265869,69.93699655,300.3987901,62.36054481,1432.845893,NA,NA,NA,NA
"19",2013-07-19,6,0,0,7,0,0,1,7,161.6351152,646.7889598,287.1882863,82.68268688,369.4003893,41.35703354,1589.052471,NA,NA,NA,NA
"20",2013-07-20,7,0,1,7,0,0,1,7,134.3280767,843.05128,394.7656747,99.33539081,346.1540043,65.06169033,1882.696117,NA,NA,NA,NA
"21",2013-07-21,1,1,0,7,0,0,1,7,66.28875782,815.9422642,346.6582364,70.52900246,287.4437885,44.83536114,1631.697411,NA,NA,NA,NA
"22",2013-07-22,2,0,0,7,0,0,1,7,131.223949,647.682749,297.7126144,83.58163269,356.4840672,61.00147082,1577.686483,NA,NA,NA,NA
"23",2013-07-23,3,0,0,7,0,0,1,7,110.3152468,691.0436622,323.3014317,65.89029797,316.2968171,72.24495281,1579.092409,NA,NA,NA,NA
"24",2013-07-24,4,0,0,7,0,0,1,7,141.8919082,698.3408621,328.0231025,53.19845623,327.3394007,37.95126488,1586.744995,NA,NA,NA,NA
"25",2013-07-25,5,0,0,7,0,0,1,7,167.7012166,681.2507683,280.809721,60.56145732,303.1925376,64.83333934,1558.34904,NA,NA,NA,NA
"26",2013-07-26,6,0,0,7,0,0,1,7,147.2720844,718.0166481,352.2938833,68.12220209,331.5220918,61.95597236,1679.182882,NA,NA,NA,NA
"27",2013-07-27,7,0,1,7,0,0,1,7,161.4033578,855.6190953,382.96588,51.27499929,358.8927145,70.06451701,1880.220564,NA,NA,NA,NA
"28",2013-07-28,1,1,0,7,0,0,1,7,86.07914324,871.8025465,360.0961052,67.15688162,437.8247955,95.3284809,1918.287953,NA,NA,NA,NA
"29",2013-07-29,2,0,0,7,0,0,1,7,183.5641644,672.5021452,356.0334347,69.70536042,368.9510291,111.0685128,1761.824647,NA,NA,NA,NA
"30",2013-07-30,3,0,0,7,0,0,1,7,132.1116401,690.1177571,354.5317751,83.10941163,424.086157,60.84869789,1744.805439,NA,NA,NA,NA
"31",2013-07-31,4,0,0,7,0,0,1,7,144.7454318,667.8422243,321.0759206,96.77209581,426.985804,90.70616381,1748.12764,NA,NA,NA,NA
"32",2013-08-01,5,0,0,8,0,0,1,8,157.854023,667.2137193,304.83031,81.48177972,322.2943072,91.45267014,1625.126809,NA,NA,NA,NA
"33",2013-08-02,6,0,0,8,0,0,1,8,117.3593421,689.695101,379.5267007,59.98111236,282.3715172,87.95697893,1616.890752,NA,NA,NA,NA
"34",2013-08-03,7,0,1,8,0,0,1,8,186.0271788,930.8017032,454.7057808,60.70878576,399.2833164,60.39736792,2091.924133,NA,NA,NA,NA
"35",2013-08-04,1,1,0,8,0,0,0,8,104.7082167,862.752429,382.8564875,97.74061664,461.704849,90.62259928,2000.385198,NA,NA,NA,NA
"36",2013-08-05,2,0,0,8,0,0,0,8,146.7753099,520.9471798,331.6153554,113.8636419,354.2472434,76.7475145,1544.196245,NA,NA,NA,NA
"37",2013-08-06,3,0,0,8,0,0,0,8,131.9562774,498.9209483,344.1048067,105.5678652,441.521507,143.9154506,1665.986855,NA,NA,NA,NA
"38",2013-08-07,4,0,0,8,0,0,0,8,160.5934173,519.1972047,341.4835446,59.75610206,423.8503182,44.00777521,1548.888362,NA,NA,NA,NA
"39",2013-08-08,5,0,0,8,0,0,0,8,153.0994246,486.2550954,298.0055198,75.25646196,464.8753715,82.46528423,1559.957157,NA,NA,NA,NA
"40",2013-08-09,6,0,0,8,0,0,0,8,125.6203444,539.9751551,328.2299243,96.52931351,450.0859875,65.97313118,1606.413856,NA,NA,NA,NA
"41",2013-08-10,7,0,1,8,0,0,0,8,185.1771627,614.5118307,351.6170292,150.1223969,450.9933371,49.60360031,1802.025357,NA,NA,NA,NA
"42",2013-08-11,1,1,0,8,0,0,0,8,73.208833,666.9113082,341.03303,107.4079993,583.4917178,128.1692903,1900.222179,NA,NA,NA,NA
"43",2013-08-12,2,0,0,8,0,0,0,8,154.5047295,510.0191265,253.6233555,64.50225653,356.0263417,70.40790486,1409.083715,NA,NA,NA,NA
"44",2013-08-13,3,0,0,8,0,0,0,8,134.0644515,535.4032128,271.5912838,65.92101193,344.6434639,80.11791412,1431.741338,NA,NA,NA,NA
"45",2013-08-14,4,0,0,8,0,0,0,8,156.9725105,520.1235907,309.1162903,111.1443014,441.2531118,41.62718183,1580.236987,NA,NA,NA,NA
"46",2013-08-15,5,0,0,8,0,0,0,8,164.7637954,538.2312628,266.5754089,94.22729029,416.6100378,85.97356693,1566.381362,NA,NA,NA,NA
"47",2013-08-16,6,0,0,8,0,0,0,8,147.7979976,552.1537146,241.7689751,124.7374644,344.4686294,67.86220274,1478.788984,NA,NA,NA,NA
"48",2013-08-17,7,0,1,8,0,0,0,8,221.630418,583.6574342,280.1700458,141.0668884,519.8349294,36.82447637,1783.184192,NA,NA,NA,NA
"49",2013-08-18,1,1,0,8,0,0,0,8,92.48977851,669.1862115,282.5997861,104.4488589,479.4995417,104.8803521,1733.104529,NA,NA,NA,NA
"50",2013-08-19,2,0,0,8,0,0,0,8,145.8791328,499.9125129,249.3911609,89.33980681,374.2471171,90.08324467,1448.852975,NA,NA,NA,NA
"51",2013-08-20,3,0,0,8,0,0,0,8,111.8423961,478.7302972,257.6207997,87.51604589,340.09036,99.81551164,1375.615411,NA,NA,NA,NA
"52",2013-08-21,4,0,0,8,0,0,0,8,125.3365227,440.8156365,271.1334421,67.17513197,352.6953242,114.6624541,1371.818512,NA,NA,NA,NA
"53",2013-08-22,5,0,0,8,0,0,0,8,132.9164282,497.7313382,229.3234356,77.93530681,343.3489336,47.65015114,1328.905594,NA,NA,NA,NA
"54",2013-08-23,6,0,0,8,0,0,0,8,162.9589587,503.6720895,260.9261958,86.007728,375.3175677,60.50013494,1449.382675,NA,NA,NA,NA
"55",2013-08-24,7,0,1,8,0,0,0,8,201.5431096,707.9442973,282.4018696,139.7769928,536.196772,69.50403865,1937.36708,NA,NA,NA,NA
"56",2013-08-25,1,1,0,8,0,0,0,8,83.02267257,726.2576495,360.8170012,97.55772911,495.1943349,89.47066909,1852.320056,NA,NA,NA,NA
"57",2013-08-26,2,0,0,8,0,0,0,8,165.8290317,451.5367408,244.9363705,66.70421854,368.7257685,66.4826351,1364.214765,NA,NA,NA,NA
"58",2013-08-27,3,0,0,8,0,0,0,8,118.4736504,442.3183521,251.0530432,102.369989,305.7720044,98.55354954,1318.540589,NA,NA,NA,NA
"59",2013-08-28,4,0,0,8,0,0,0,8,108.8769914,418.2979412,225.8781947,64.7180978,349.3909731,74.71380699,1241.876005,NA,NA,NA,NA
"60",2013-08-29,5,0,0,8,0,0,0,8,178.1780238,386.3902677,198.7764073,79.67169529,396.4546128,109.8276627,1349.29867,NA,NA,NA,NA
"61",2013-08-30,6,0,0,8,0,0,0,8,133.1508285,492.1412652,184.2523348,65.01281972,343.3456866,61.36878209,1279.271717,NA,NA,NA,NA
"62",2013-08-31,7,0,1,8,0,0,0,8,130.8213149,581.4905378,265.4108076,115.8689513,344.0966189,34.5569447,1472.245175,NA,NA,NA,NA
"63",2013-09-01,1,1,0,9,0,0,0,9,95.97043149,481.5848296,239.5450841,78.43214464,400.3752516,30.17182945,1326.079571,NA,NA,NA,NA
"64",2013-09-02,2,0,0,9,0,0,0,9,138.4087232,350.0234328,165.8847946,75.3207374,236.082417,40.86384615,1006.583951,NA,NA,NA,NA
"65",2013-09-03,3,0,0,9,0,0,0,9,138.8256189,357.4012857,174.6554913,84.17436827,270.3501239,35.62019747,1061.027086,NA,NA,NA,NA
"66",2013-09-04,4,0,0,9,0,0,0,9,100.2219695,362.2493717,162.8374384,79.9069126,308.6705065,23.09774665,1036.983945,NA,NA,NA,NA
"67",2013-09-05,5,0,0,9,0,0,0,9,173.6581003,400.9501052,155.7955278,60.0423801,309.0221506,47.82832145,1147.296585,NA,NA,NA,NA
"68",2013-09-06,6,0,0,9,0,0,0,9,171.4151797,395.673297,183.3727801,68.63167289,307.0194156,38.09653779,1164.208883,NA,NA,NA,NA
"69",2013-09-07,7,0,1,9,0,0,0,9,186.034061,591.5235477,215.3390229,150.9471169,447.9917457,39.35865068,1631.194145,NA,NA,NA,NA
"70",2013-09-08,1,1,0,9,0,0,0,9,88.89259581,576.0406993,261.7239254,68.50949244,453.7923001,35.96570881,1484.924722,NA,NA,NA,NA
"71",2013-09-09,2,0,0,9,0,0,0,9,169.3599685,331.981294,155.6989989,88.04324019,266.7401855,44.19530363,1056.018991,NA,NA,NA,NA
"72",2013-09-10,3,0,0,9,0,0,0,9,89.69445361,363.6678291,186.6318855,81.9233276,272.0857849,54.44425709,1048.447538,NA,NA,NA,NA
"73",2013-09-11,4,0,0,9,0,0,0,9,103.3636866,350.8138079,156.9938342,56.2795005,266.2837425,38.5545767,972.2891484,NA,NA,NA,NA
"74",2013-09-12,5,0,0,9,0,0,0,9,106.4744,354.2825932,128.9575311,87.49526616,291.2971157,23.94275386,992.44966,NA,NA,NA,NA
"75",2013-09-13,6,0,0,9,0,0,0,9,122.5646262,413.0418644,142.4509223,48.27822477,306.3134003,51.4135956,1084.062634,NA,NA,NA,NA
"76",2013-09-14,7,0,1,9,0,0,0,9,174.9388075,530.8251026,230.5242499,181.0718257,383.0833734,44.90440907,1545.347768,NA,NA,NA,NA
"77",2013-09-15,1,1,0,9,0,0,0,9,55.19600623,494.9081851,199.5258192,72.86389898,368.2355193,58.39794578,1249.127375,NA,NA,NA,NA
"78",2013-09-16,2,0,0,9,0,0,0,9,146.7602349,363.7019178,150.4580786,91.9109697,230.653426,25.30769024,1008.792317,NA,NA,NA,NA
"79",2013-09-17,3,0,0,9,0,0,0,9,136.1180445,321.0548813,121.6014191,83.27544666,320.526447,60.71732015,1043.293559,NA,NA,NA,NA
"80",2013-09-18,4,0,0,9,0,0,0,9,152.2550852,327.4137134,123.4304753,52.94188172,273.5407717,26.79544191,956.3773692,NA,NA,NA,NA
"81",2013-09-19,5,0,0,9,0,0,0,9,148.6749921,362.273757,127.5954367,93.94406707,300.2623761,66.26923163,1099.019861,NA,NA,NA,NA
"82",2013-09-20,6,0,0,9,0,0,0,9,110.1592503,375.1682908,119.9955679,98.43757742,377.4035008,60.30463042,1141.468818,NA,NA,NA,NA
"83",2013-09-21,7,0,1,9,0,0,0,9,178.2638879,525.0140978,227.1781251,148.9391022,320.9600545,63.2351829,1463.59045,NA,NA,NA,NA
"84",2013-09-22,1,1,0,9,0,0,0,9,86.66689738,500.5796178,216.0255975,98.18606762,359.9953803,59.03154643,1320.485107,NA,NA,NA,NA
"85",2013-09-23,2,0,0,9,0,0,0,9,111.1284106,339.4177387,115.1739491,67.65499092,293.8817817,41.75995043,969.0168215,NA,NA,NA,NA
"86",2013-09-24,3,0,0,9,0,0,0,9,139.6414458,314.0046618,107.5153113,119.8131275,261.6018338,74.00882958,1016.58521,NA,NA,NA,NA
"87",2013-09-25,4,0,0,9,0,0,0,9,117.9411933,333.9646879,133.4553571,148.9946527,298.2842604,19.77835545,1052.418507,NA,NA,NA,NA
"88",2013-09-26,5,0,0,9,0,0,0,9,203.3143452,348.8625096,111.33144,74.56206144,287.7935336,29.26200266,1055.125893,NA,NA,NA,NA
"89",2013-09-27,6,0,0,9,0,0,0,9,135.5072917,337.8946471,102.1878641,66.20325188,283.2060619,56.22745791,981.2265746,NA,NA,NA,NA
"90",2013-09-28,7,0,1,9,0,0,0,9,134.6137568,578.1568741,247.9958262,129.9521999,290.8488789,88.9610412,1470.528577,NA,NA,NA,NA
"91",2013-09-29,1,1,0,9,0,0,0,9,68.6316897,503.1551995,194.9861114,70.20082262,304.830464,35.07372872,1176.878016,NA,NA,NA,NA
"92",2013-09-30,2,0,0,9,0,0,0,9,156.502436,360.8271061,141.9928653,73.2079832,331.1543569,52.37183628,1116.056584,NA,NA,NA,NA
"93",2013-10-01,3,0,0,10,0,0,0,10,123.3975401,356.8160795,135.6145941,101.8926896,351.5909914,40.76311234,1110.075007,NA,NA,NA,NA
"94",2013-10-02,4,0,0,10,0,0,0,10,196.7209692,423.6881735,156.465804,70.9668373,322.8803004,62.04554627,1232.767631,NA,NA,NA,NA
"95",2013-10-03,5,0,0,10,0,1,0,10,75.23373024,592.5672113,192.2933113,75.30240747,440.8981161,66.33349453,1442.628271,NA,NA,NA,NA
"96",2013-10-04,6,0,0,10,0,0,1,10,156.0661226,501.3479488,179.3015519,85.83394679,280.7563835,63.8333928,1267.139346,NA,NA,NA,NA
"97",2013-10-05,7,0,1,10,0,0,1,10,152.2807621,532.4966214,225.9100667,149.250845,326.9931649,87.77473667,1474.706197,NA,NA,NA,NA
"98",2013-10-06,1,1,0,10,0,0,1,10,92.48057727,534.597185,225.3468198,52.46099878,340.7012031,96.26410655,1341.850891,NA,NA,NA,NA
"99",2013-10-07,2,0,0,10,0,0,1,10,124.841544,372.4523018,146.8020106,93.05787712,318.4816606,73.73618618,1129.37158,NA,NA,NA,NA
"100",2013-10-08,3,0,0,10,0,0,1,10,96.86710098,324.6166156,179.7180763,91.15159146,245.6569231,69.37294853,1007.383256,NA,NA,NA,NA
"101",2013-10-09,4,0,0,10,0,0,1,10,149.7617589,369.5406185,153.104644,85.61885861,260.8312423,83.86564326,1102.722766,NA,NA,NA,NA
"102",2013-10-10,5,0,0,10,0,0,1,10,119.300285,349.1494909,157.4914531,65.01769829,266.1567335,77.7390715,1034.854732,NA,NA,NA,NA
"103",2013-10-11,6,0,0,10,0,0,1,10,123.2348187,349.1129778,166.0219603,61.58908062,229.0723094,67.78720341,996.8183502,NA,NA,NA,NA
"104",2013-10-12,7,0,1,10,0,0,1,10,140.2624217,425.0708046,204.7486976,124.018842,273.2215953,86.13903881,1253.4614,NA,NA,NA,NA
"105",2013-10-13,1,1,0,10,0,0,1,10,42.99679263,452.2757064,187.1652999,71.24436384,248.357763,172.8659849,1174.905911,NA,NA,NA,NA
"106",2013-10-14,2,0,0,10,0,0,1,10,109.8637443,328.2551168,155.6681754,96.99230948,270.4197189,81.80692074,1043.005986,NA,NA,NA,NA
"107",2013-10-15,3,0,0,10,0,0,1,10,130.4318026,354.8854149,127.2842376,94.6638762,219.9417508,67.11015122,994.3172333,NA,NA,NA,NA
"108",2013-10-16,4,0,0,10,0,0,1,10,146.0705835,324.7575293,143.1480865,95.99951402,288.9182581,72.96587646,1071.859848,NA,NA,NA,NA
"109",2013-10-17,5,0,0,10,0,0,1,10,89.94118379,324.9826413,138.523531,70.05323657,244.4288716,117.5683488,985.4978131,NA,NA,NA,NA
"110",2013-10-18,6,0,0,10,0,0,1,10,111.2336982,321.7099003,154.0604138,63.04057901,295.0768563,59.17103268,1004.29248,NA,NA,NA,NA
"111",2013-10-19,7,0,1,10,0,0,0,10,121.5908605,379.7774092,218.4038049,186.5376384,281.5592137,50.52195874,1238.390885,NA,NA,NA,NA
"112",2013-10-20,1,1,0,10,0,0,0,10,70.14198553,437.6611138,184.7386888,74.32383607,229.5169101,84.16537771,1080.547912,NA,NA,NA,NA
"113",2013-10-21,2,0,0,10,0,0,0,10,122.9878682,312.3904583,158.6000601,74.73589867,187.5627776,119.1527333,975.4297962,NA,NA,NA,NA
"114",2013-10-22,3,0,0,10,0,0,0,10,111.9270887,367.7316286,124.3498353,48.10840839,255.7936138,82.89572322,990.806298,NA,NA,NA,NA
"115",2013-10-23,4,0,0,10,0,0,0,10,125.8160162,339.1910267,127.2062318,85.51714516,271.192325,78.92614292,1027.848888,NA,NA,NA,NA
"116",2013-10-24,5,0,0,10,0,0,0,10,123.1634064,347.1473397,156.2313327,91.3424293,246.1754693,82.10465133,1046.164629,NA,NA,NA,NA
"117",2013-10-25,6,0,0,10,0,0,0,10,113.6618586,331.5319225,160.5910576,60.83492489,262.4797418,83.51488477,1012.61439,NA,NA,NA,NA
"118",2013-10-26,7,0,1,10,0,0,0,10,161.6788053,403.1763803,189.2422023,128.4730763,260.8129435,89.46403275,1232.84744,NA,NA,NA,NA
"119",2013-10-27,1,1,0,10,0,0,0,10,102.3551958,541.8679245,190.7127371,74.29464617,292.4524596,40.46524884,1242.148212,NA,NA,NA,NA
"120",2013-10-28,2,0,0,10,0,0,0,10,129.4821927,358.4739089,133.3361398,64.028694,196.8418692,38.68555099,920.8483556,NA,NA,NA,NA
"121",2013-10-29,3,0,0,10,0,0,0,10,112.2858939,343.3825546,140.4857388,67.2858928,194.0503589,148.2023921,1005.692831,NA,NA,NA,NA
"122",2013-10-30,4,0,0,10,0,0,0,10,121.506077,315.5218198,130.0664092,65.31541821,295.2668933,113.8645016,1041.541119,NA,NA,NA,NA
"123",2013-10-31,5,0,0,10,0,0,0,10,133.7235413,297.2511418,131.8880042,63.02324727,242.1528597,60.99348063,929.0322749,NA,NA,NA,NA
"124",2013-11-01,6,0,0,11,0,0,0,11,100.1821605,336.0181779,131.5954623,176.5221241,273.3702783,26.15830615,1043.846509,NA,NA,NA,NA
"125",2013-11-02,7,0,1,11,0,0,0,0,149.172348,433.4114755,196.1559913,76.17066349,225.6609268,79.68408246,1160.255488,NA,NA,NA,NA
"126",2013-11-03,1,1,0,11,0,0,0,0,97.453274,549.6200478,170.0329635,49.0155894,250.8345703,42.22480539,1159.18125,NA,NA,NA,NA
"127",2013-11-04,2,0,0,11,0,0,0,0,137.8642604,269.3860561,127.2683298,65.84426791,243.4806889,31.64430892,875.487912,NA,NA,NA,NA
"128",2013-11-05,3,0,0,11,0,0,0,0,103.7002673,247.5016839,103.8870442,57.53830422,189.3163399,27.33256879,729.2762083,NA,NA,NA,NA
"129",2013-11-06,4,0,0,11,0,0,0,0,109.0970011,273.95222,79.08898616,51.49258406,193.0376444,31.59811293,738.2665487,NA,NA,NA,NA
"130",2013-11-07,5,0,0,11,0,0,0,0,118.4706033,276.6709842,122.7454306,49.42237752,225.6840714,18.48399272,811.4774597,NA,NA,NA,NA
"131",2013-11-08,6,0,0,11,0,0,0,0,132.7962442,270.9351845,101.7718898,177.0875842,208.9318841,40.22331161,931.7460984,NA,NA,NA,NA
"132",2013-11-09,7,0,1,11,0,0,0,0,99.93179595,391.2574305,136.2876451,49.8879972,221.2317627,54.47857506,953.0752065,NA,NA,NA,NA
"133",2013-11-10,1,1,0,11,0,0,0,0,108.5616603,554.3588489,190.9639005,54.99782722,338.8937232,36.92826444,1284.704225,NA,NA,NA,NA
"134",2013-11-11,2,0,0,11,0,0,0,0,124.5804856,277.9109099,120.1626417,78.11319983,242.681615,36.01214441,879.4609964,NA,NA,NA,NA
"135",2013-11-12,3,0,0,11,0,0,0,0,111.9708705,257.3064981,107.2532067,58.39134118,196.4578889,23.46807067,754.8478761,NA,NA,NA,NA
"136",2013-11-13,4,0,0,11,0,0,0,0,78.03824834,253.6795168,119.8677485,57.77294018,243.067077,51.49815252,803.9236833,NA,NA,NA,NA
"137",2013-11-14,5,0,0,11,0,0,0,0,121.1802197,252.6723012,69.83613055,91.89965348,209.0511902,34.18990921,778.8294043,NA,NA,NA,NA
"138",2013-11-15,6,0,0,11,0,0,0,0,122.7692977,261.6315791,93.67948694,175.1283578,210.424923,31.81391362,895.4475582,NA,NA,NA,NA
"139",2013-11-16,7,0,1,11,0,0,0,0,126.7933974,388.4567327,137.1516431,92.52288067,261.7551812,56.27092881,1062.950764,NA,NA,NA,NA
"140",2013-11-17,1,1,0,11,0,0,0,0,74.39451859,585.3606335,219.2306077,57.5784741,434.5146843,28.28409449,1399.363013,NA,NA,NA,NA
"141",2013-11-18,2,0,0,11,0,0,0,0,129.1090326,271.3880045,91.01250105,78.19368523,211.4124608,43.97946067,825.0951449,NA,NA,NA,NA
"142",2013-11-19,3,0,0,11,0,0,0,0,106.9061186,256.0593239,82.94222219,101.6374793,175.2433353,20.29422053,743.0826998,NA,NA,NA,NA
"143",2013-11-20,4,0,0,11,0,0,0,0,124.3246124,254.568609,97.78928123,83.77873524,189.0932451,35.36299774,784.9174807,NA,NA,NA,NA
"144",2013-11-21,5,0,0,11,0,0,0,0,144.3599275,265.6597324,101.9039252,140.6866153,188.0072637,28.02199058,868.6394547,NA,NA,NA,NA
"145",2013-11-22,6,0,0,11,0,0,0,0,107.9627314,264.858352,93.07360465,73.32219534,182.2175843,12.93738284,734.3718505,NA,NA,NA,NA
"146",2013-11-23,7,0,1,11,0,0,0,0,96.51967668,371.9735988,174.4789669,68.56173361,208.7616011,56.13963521,976.4352123,NA,NA,NA,NA
"147",2013-11-24,1,1,0,11,0,0,0,0,76.41200612,563.7031997,256.6425905,63.70210749,369.4262754,36.34969049,1366.23587,NA,NA,NA,NA
"148",2013-11-25,2,0,0,11,1,0,0,0,129.8199281,243.739175,73.40333268,66.27120313,243.044424,141.2628068,897.5408697,NA,NA,NA,NA
"149",2013-11-26,3,0,0,11,1,0,0,0,123.4317032,270.0667806,102.0587746,81.36146472,246.4706582,111.8911457,935.280527,NA,NA,NA,NA
"150",2013-11-27,4,0,0,11,1,0,0,0,93.53214543,249.9838886,73.154092,61.39379294,199.9711444,90.34124991,768.3763133,NA,NA,NA,NA
"151",2013-11-28,5,0,0,11,1,0,0,0,128.8424262,245.1579035,111.2549849,101.9982315,218.5749381,154.3866602,960.2151444,NA,NA,NA,NA
"152",2013-11-29,6,0,0,11,1,0,0,0,104.9664634,270.6049867,98.13539835,66.14961914,198.6437627,95.82142842,834.3216587,NA,NA,NA,NA
"153",2013-11-30,7,0,1,11,1,0,0,0,104.0900387,364.5583962,113.5595361,60.8077382,184.6705593,121.676035,949.3623035,NA,NA,NA,NA
"154",2013-12-01,1,1,0,12,1,0,0,0,68.07622318,584.644687,192.1086488,49.72618236,251.1713654,92.54321695,1238.270324,NA,NA,NA,NA
"155",2013-12-02,2,0,0,12,1,0,0,0,113.9314987,278.6649272,112.7295102,62.75265585,200.8808292,90.10186535,859.0612865,NA,NA,NA,NA
"156",2013-12-03,3,0,0,12,1,0,0,0,94.76586521,247.8266217,112.8634859,97.48251744,187.80359,108.8121019,849.5541822,NA,NA,NA,NA
"157",2013-12-04,4,0,0,12,1,0,0,0,128.9228551,267.3818982,118.5989524,37.18977833,214.9410993,149.8230454,916.8576287,NA,NA,NA,NA
"158",2013-12-05,5,0,0,12,1,0,0,0,120.9746997,270.13371,114.6087448,69.9500583,190.1106469,127.7023013,893.480161,NA,NA,NA,NA
"159",2013-12-06,6,0,0,12,1,0,0,0,112.0156506,242.4296919,72.78034766,81.02491432,211.0365543,63.23832535,782.5254841,NA,NA,NA,NA
"160",2013-12-07,7,0,1,12,1,0,0,0,121.4085648,330.4051508,116.7993737,79.05723401,194.8165649,128.6564929,971.1433811,NA,NA,NA,NA
"161",2013-12-08,1,1,0,12,1,0,0,0,36.26501696,502.371532,169.0173493,69.92950379,211.4048029,73.95341573,1062.941621,NA,NA,NA,NA
"162",2013-12-09,2,0,0,12,1,0,0,0,134.68055,224.635146,104.2260921,63.5616526,170.5249729,28.67288419,726.3012978,NA,NA,NA,NA
"163",2013-12-10,3,0,0,12,1,0,0,0,104.352035,257.9482468,112.1245684,138.6558121,149.4313428,115.9342347,878.4462398,NA,NA,NA,NA
"164",2013-12-11,4,0,0,12,1,0,0,0,85.90798192,258.730733,76.93945689,60.80765901,155.8147783,93.86569135,732.0663005,NA,NA,NA,NA
"165",2013-12-12,5,0,0,12,1,0,0,0,88.20754497,246.4204866,99.20070939,175.4891831,180.750618,111.6666861,901.7352282,NA,NA,NA,NA
"166",2013-12-13,6,0,0,12,1,0,0,0,85.53249353,215.1024544,66.20560032,71.72958378,181.3649993,110.982692,730.9178233,NA,NA,NA,NA
"167",2013-12-14,7,0,1,12,1,0,0,0,120.787742,327.6130788,103.1305003,111.3584441,197.8025866,161.4143016,1022.106653,NA,NA,NA,NA
"168",2013-12-15,1,1,0,12,1,0,0,0,71.53521727,564.3350307,188.3264039,104.6731886,217.4925534,70.26278517,1216.625179,NA,NA,NA,NA
"169",2013-12-16,2,0,0,12,1,0,0,0,120.7912115,230.2858191,72.94626949,124.7643644,157.3924859,54.73946992,760.9196203,NA,NA,NA,NA
"170",2013-12-17,3,0,0,12,1,0,0,0,74.62832509,261.5243789,88.81184597,104.2942066,174.5715558,31.70988614,735.5401985,NA,NA,NA,NA
"171",2013-12-18,4,0,0,12,1,0,0,0,86.4115251,241.8802896,78.67043296,79.41688622,183.8958609,42.27224773,712.5472425,NA,NA,NA,NA
"172",2013-12-19,5,0,0,12,1,0,0,0,101.5896445,265.1541103,66.42455889,82.33701538,175.6514759,86.53818326,777.6949882,NA,NA,NA,NA
