"","Datum","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","KielerWoche","Gruppe_1","Gruppe_2","Gruppe_3","Gruppe_4","Gruppe_5","Gruppe_6"
"88","02.01.2012",7,7.4375,12,NA,NA,NA,NA,NA,NA,NA,NA
"89","02.01.2014",7,6.25,9,63,NA,153.1664922,449.4182193,142.3079707,66.70968586,257.5258944,50.76081337
"90","02.01.2015",6,7.75,24,61,NA,171.4364804,512.1777202,182.1230093,124.08253,300.8298058,NA
"91","02.01.2016",8,0,16,10,NA,122.8857474,534.2554624,182.7038312,213.8981601,290.2144746,NA
"92","02.01.2017",3,1.625,8,0,NA,127.9427539,363.7857666,93.03510633,80.44886085,274.0342037,NA
"93","02.01.2018",6,5.7,8,61,NA,154.7863749,362.1066226,150.5024356,83.46739466,278.6905454,NA
"94","02.01.2019",0,3.9125,20,0,NA,160.1170279,437.7612963,145.9283381,85.71281956,273.8284971,NA
"95","02.02.2012",6,-5.85,8,85,NA,NA,NA,NA,NA,NA,NA
"96","02.02.2014",0,5.4875,8,NA,NA,76.75749435,556.3410897,227.1559248,115.5534705,411.69346,120.4190345
"97","02.02.2015",6,1,10,22,NA,159.2543537,338.3272102,117.7592193,101.3496158,317.4076414,NA
"98","02.02.2016",6,7.5,20,61,NA,101.8209897,334.195167,77.72352095,54.96132272,248.5162739,NA
"99","02.02.2017",7,1.75,6,61,NA,89.92543982,222.7670675,54.39676856,67.41868792,191.6331053,NA
"100","02.02.2018",7,3.45,6,61,NA,95.67376206,232.9582527,103.7076206,112.1547958,228.5912443,NA
"101","02.02.2019",8,1.7375,10,10,NA,130.0801055,304.1958247,143.4246607,67.06797059,314.6805284,NA
"102","02.03.2012",7,5.9125,6,28,NA,NA,NA,NA,NA,NA,NA
"103","02.03.2014",6,6.5625,9,10,NA,78.30468793,613.7720727,216.4540793,74.60213484,321.4851501,36.85689237
"104","02.03.2015",6,5.125,23,61,NA,104.9638085,254.4851645,82.71823418,170.6912652,186.0875233,NA
"105","02.03.2016",7,5,16,63,NA,76.37955501,222.0956482,93.72175421,69.81529468,164.3555349,NA
"106","02.03.2017",3,6.5,16,21,NA,129.8903565,236.0900844,93.17037972,93.74443277,208.1623529,NA
"107","02.03.2018",6,-4.9625,15,71,NA,101.7120811,216.1422518,105.9593625,96.43525842,235.8131079,NA
"108","02.03.2019",7,5.4,7,NA,NA,143.076485,421.4794599,172.578871,88.74279427,326.5435731,NA
"109","02.04.2012",7,5.5875,16,NA,NA,NA,NA,NA,NA,NA,NA
"110","02.04.2014",2,12.45,8,10,NA,145.7937685,357.4018891,122.2743993,189.5486176,251.7222881,123.2244646
"111","02.04.2015",6,6.5,19,61,NA,269.4249409,525.4764225,183.2155513,80.0250209,406.3539375,NA
"112","02.04.2016",3,12.75,8,NA,NA,87.39442074,436.2780403,189.1331942,80.16619066,247.6612678,NA
"113","02.04.2017",2,13.375,13,0,NA,90.41088505,432.3018259,188.0642639,83.31712954,219.2223376,NA
"114","02.04.2018",5,6.1,8,5,NA,43.20036481,478.2606286,177.6806796,87.10099848,270.9776798,NA
"115","02.04.2019",0,11.685714,10,5,NA,173.7644512,337.4173007,118.8337275,85.86424013,290.7194213,NA
"116","02.05.2012",1,13.45,12,NA,NA,NA,NA,NA,NA,NA,NA
"117","02.05.2013",1,11.0375,12,NA,NA,NA,NA,NA,NA,NA,NA
"118","02.05.2014",6,10.225,13,NA,NA,194.8773005,506.7736099,183.8458984,77.55432024,345.1884428,71.21749244
"119","02.05.2015",3,11,12,0,NA,205.2778112,569.8540664,216.6620994,93.90810363,390.2452007,NA
"120","02.05.2016",1,17.875,6,NA,NA,80.53432047,320.9954199,95.41310273,46.45210451,227.0849359,NA
"121","02.05.2017",2,10.875,21,5,NA,155.0958888,315.6306727,121.9337166,62.1562035,224.460398,NA
"122","02.05.2018",1,14.725,9,5,NA,114.0813376,282.2983478,133.1669237,66.94369178,206.1620373,NA
"123","02.05.2019",7,8.95,16,61,NA,189.2730593,376.4990293,165.2054966,NA,309.5847734,NA
"124","02.06.2012",4,12.4625,16,25,NA,NA,NA,NA,NA,NA,NA
"125","02.06.2013",2,14.975,18,NA,NA,NA,NA,NA,NA,NA,NA
"126","02.06.2014",0,17.625,9,NA,NA,199.7231606,441.0526648,142.0684467,112.8784643,292.066999,103.7624335
"127","02.06.2015",7,14.25,14,61,NA,96.03091342,412.2095938,132.8616133,55.30541948,247.5486561,NA
"128","02.06.2016",1,21.5,13,NA,NA,118.3667559,300.2011164,81.0016778,65.36460261,199.2615495,NA
"129","02.06.2017",0,20.25,9,NA,NA,109.5683152,352.1669002,108.5396946,79.1146599,219.8927814,NA
"130","02.06.2018",1,22.8875,10,5,NA,145.0824938,521.6503122,258.2028122,73.45992299,340.5191016,NA
"131","02.06.2019",2,24.35,8,NA,NA,NA,NA,NA,NA,NA,NA
"132","02.07.2012",6,19.4375,10,NA,NA,NA,NA,NA,NA,NA,NA
"133","02.07.2013",3,17.3125,10,NA,NA,159.7937571,546.7807874,265.261254,74.54391718,383.6286816,16.41087593
"134","02.07.2014",6,17.1125,15,NA,NA,130.3535735,409.9898159,221.6442683,64.33797135,276.1241323,NA
"135","02.07.2015",0,27.375,12,NA,NA,146.6383893,380.0752334,197.9174425,85.43152392,207.5009507,NA
"136","02.07.2016",7,15.625,12,61,NA,151.5305887,458.0466562,235.678452,117.8675954,321.4412006,NA
"137","02.07.2017",7,17.125,18,21,NA,63.61466859,477.9959369,246.3384199,74.8792539,258.6915088,NA
"138","02.07.2018",0,22.525,11,5,NA,149.3307129,440.0105886,191.1030606,66.34943568,299.4851429,NA
"139","02.07.2019",6,15.1875,18,21,NA,NA,NA,NA,NA,NA,NA
"140","02.08.2012",6,22.725,10,29,NA,NA,NA,NA,NA,NA,NA
"141","02.08.2013",0,31.4375,7,NA,NA,117.3593421,689.695101,379.5267007,59.98111236,282.3715172,87.95697893
"142","02.08.2014",2,26.0875,12,NA,NA,189.4440733,792.6530072,371.3178896,62.59123897,366.8614954,NA
"143","02.08.2015",0,21.5,8,NA,NA,79.85244849,781.185854,295.6788693,82.73931315,313.0316247,NA
"144","02.08.2016",4,19.75,7,20,NA,135.7219546,640.3592885,307.1958897,70.11830167,291.774754,NA
"145","02.08.2017",5,21.375,8,61,NA,155.0220992,584.8467122,304.1161096,127.4016787,346.23388,NA
"146","02.08.2018",0,26.1875,10,0,NA,184.6020153,606.9124581,345.5908026,76.54505455,296.6372919,NA
"147","02.09.2012",6,19.15,14,NA,NA,NA,NA,NA,NA,NA,NA
"148","02.09.2013",7,16.575,17,63,NA,138.4087232,350.0234328,165.8847946,75.3207374,236.082417,40.86384615
"149","02.09.2014",2,18.375,13,NA,NA,93.40321127,458.4022375,240.2854803,83.57188589,288.6140382,NA
"150","02.09.2015",5,17,13,21,NA,83.73915362,343.529213,178.0400492,86.02780544,287.1010216,NA
"151","02.09.2016",4,19.125,8,61,NA,85.20459716,387.2120259,161.9324377,81.78779217,307.4860446,NA
"152","02.09.2017",4,16.525,8,21,NA,148.153237,466.9671603,195.4780915,69.21661489,371.2512263,NA
"153","02.09.2018",1,18.95,11,5,NA,86.97322182,409.8044846,277.6080112,94.65975229,358.1018127,NA
"154","02.10.2012",6,15.1625,10,10,NA,NA,NA,NA,NA,NA,NA
"155","02.10.2013",1,12.7,10,NA,NA,196.7209692,423.6881735,156.465804,70.9668373,322.8803004,62.04554627
"156","02.10.2014",6,18,6,NA,NA,183.4112755,441.7373188,164.4204152,52.90746954,330.4691526,NA
"157","02.10.2015",2,15.375,7,10,NA,135.2334415,354.7755073,106.5355772,57.76461212,240.1193616,NA
"158","02.10.2016",3,15.75,7,21,NA,56.30040911,562.1254679,186.7323604,37.13061989,262.2997737,NA
"159","02.10.2017",6,15.15,13,61,NA,179.5544526,416.1886717,143.8359408,92.2603368,320.7479884,NA
"160","02.10.2018",6,10,18,61,NA,150.0804285,474.6305006,207.3231506,121.1139078,301.3548031,NA
"161","02.11.2012",7,7.475,12,21,NA,NA,NA,NA,NA,NA,NA
"162","02.11.2013",8,8.8875,3,63,NA,149.172348,433.4114755,196.1559913,76.17066349,225.6609268,79.68408246
"163","02.11.2014",3,15.375,10,21,NA,99.288587,643.0774722,273.8307267,59.39386696,304.4049613,NA
"164","02.11.2015",8,9.75,5,10,NA,122.8523456,285.1563333,116.5303948,137.2948194,222.3186912,NA
"165","02.11.2016",4,7.25,13,21,NA,98.54577062,258.6305293,90.82024439,61.40772358,222.4472331,NA
"166","02.11.2017",NA,11.6875,13,NA,NA,121.4403974,289.9281872,116.9967976,96.12401093,211.0380039,NA
"167","02.11.2018",6,10.675,12,61,NA,107.2568441,271.9903991,122.1010437,69.70753442,259.9988421,NA
"168","02.12.2013",0,3.0625,4,10,NA,113.9314987,278.6649272,112.7295102,62.75265585,200.8808292,90.10186535
"169","02.12.2014",8,-3,7,10,NA,154.2426329,275.9783257,114.3447924,68.99728251,265.9336885,NA
"170","02.12.2015",7,10.5,9,21,NA,76.60579825,223.7005016,92.9399094,58.56976246,185.8681558,NA
"171","02.12.2016",0,3.625,8,0,NA,94.50387244,251.175708,77.27144333,150.612189,166.9534095,NA
"172","02.12.2017",7,0.375,8,61,NA,127.0825167,288.536116,127.4055587,118.5313301,213.2555985,NA
"173","02.12.2018",7,8.15,8,61,NA,80.74546328,425.1082349,221.3083373,65.01950477,294.5455498,NA
"174","03.01.2012",8,5.5375,18,63,NA,NA,NA,NA,NA,NA,NA
"175","03.01.2014",7,6.8375,10,63,NA,109.4847635,405.8144782,99.6058148,161.3942052,227.9131588,76.8881502
"176","03.01.2015",7,4.875,25,69,NA,146.7254665,495.4836862,170.9630777,133.991008,277.8334318,NA
"177","03.01.2016",7,-5.5,13,0,NA,67.32816097,436.5824701,164.8590058,320.0522146,189.5607687,NA
"178","03.01.2017",7,6,16,61,NA,89.44833486,309.9611081,80.78635647,109.3667045,245.0816839,NA
"179","03.01.2018",7,6.475,11,61,NA,80.17113412,296.9507118,115.4308953,101.8788859,234.2465436,NA
"180","03.01.2019",2,0.725,6,NA,NA,115.1059978,377.4091241,160.4456635,108.8173773,303.5521465,NA
"181","03.02.2012",4,-5.85,14,3,NA,NA,NA,NA,NA,NA,NA
"182","03.02.2014",1,3.475,8,10,NA,154.3231037,348.7717306,90.30293403,85.66742513,270.6076012,102.0311026
"183","03.02.2015",7,-1,10,77,NA,112.0951715,258.9590885,117.9848271,74.08603983,289.8478398,NA
"184","03.02.2016",6,4.75,15,61,NA,114.4642387,295.8242067,77.08962723,58.53727589,325.5078638,NA
"185","03.02.2017",7,1.625,6,45,NA,78.36841284,212.9240153,83.37494465,69.55087504,220.6409996,NA
"186","03.02.2018",7,-1.1625,8,71,NA,105.6091856,272.959507,114.5067509,95.44142034,277.3951129,NA
"187","03.02.2019",1,2.5,9,0,NA,64.17842692,447.7957724,234.5312957,84.9033616,366.7041301,NA
"188","03.03.2012",5,7.0375,14,NA,NA,NA,NA,NA,NA,NA,NA
"189","03.03.2014",0,9.1875,10,5,NA,123.816846,340.8437218,135.7017989,62.59252541,292.7279369,28.38209567
"190","03.03.2015",6,5,14,61,NA,96.31633611,270.3615981,77.44187337,85.54911234,233.360646,NA
"191","03.03.2016",7,4.75,5,21,NA,116.7970669,229.046717,88.96167458,141.7169028,154.9857026,NA
"192","03.03.2017",2,8.375,10,0,NA,87.3180597,238.9767212,102.152065,62.89633751,233.4332962,NA
"193","03.03.2018",0,-3.4375,13,5,NA,98.24158928,297.5215836,117.0661748,80.77937665,263.8770673,NA
"194","03.03.2019",6,8.975,13,61,NA,79.23682812,530.7457657,291.1875101,77.30512454,324.1047629,NA
"195","03.04.2012",7,3.3,10,22,NA,NA,NA,NA,NA,NA,NA
"196","03.04.2014",3,7.6125,15,10,NA,199.3342138,338.6914569,134.0558606,89.00747374,272.475241,79.86808876
"197","03.04.2015",5,7.375,14,NA,NA,NA,NA,NA,NA,NA,NA
"198","03.04.2016",7,15.5,5,21,NA,59.94478468,401.2005974,166.2070536,89.25336527,234.6413804,NA
"199","03.04.2017",2,10.375,8,NA,NA,187.8540691,281.8781415,101.1738682,79.36422565,235.0994458,NA
"200","03.04.2018",7,11.775,9,61,NA,135.7245855,312.0424148,134.1958897,37.95471985,236.5454188,NA
"201","03.04.2019",7,9.875,9,63,NA,NA,NA,NA,NA,NA,NA
"202","03.05.2012",6,16.6,8,NA,NA,NA,NA,NA,NA,NA,NA
"203","03.05.2013",0,12.9125,9,NA,NA,NA,NA,NA,NA,NA,NA
"204","03.05.2014",3,11.8625,13,NA,NA,NA,NA,NA,NA,NA,NA
"205","03.05.2015",1,14.75,12,61,NA,49.1824014,467.8333866,154.5036195,54.87035925,273.7529584,NA
"206","03.05.2016",6,11.375,15,61,NA,121.0442376,289.7087315,78.23376527,77.56162086,247.6274376,NA
"207","03.05.2017",3,11.25,20,5,NA,118.3260861,284.6828355,119.1068724,94.28090425,219.0505763,NA
"208","03.05.2018",1,12.5,14,0,NA,123.9751601,286.8174434,118.8454101,54.54905306,211.8779654,NA
"209","03.05.2019",6,8.7625,18,21,NA,142.0433908,310.6891469,168.0384829,NA,301.6635709,NA
"210","03.06.2012",7,12.35,12,NA,NA,NA,NA,NA,NA,NA,NA
"211","03.06.2013",0,17.35,13,NA,NA,NA,NA,NA,NA,NA,NA
"212","03.06.2014",1,20,9,NA,NA,142.5380257,416.9468088,161.4713947,89.112531,245.2121484,142.5598898
"213","03.06.2015",6,15.25,18,21,NA,92.27342564,350.8312373,118.9735138,78.86997667,257.7035804,NA
"214","03.06.2016",0,21.875,10,NA,NA,126.1728056,360.1617073,119.4346131,84.4526943,238.0690274,NA
"215","03.06.2017",7,17.5,5,61,NA,147.3407882,430.671317,202.3274036,111.9062645,341.2199516,NA
"216","03.06.2018",7,19.275,9,0,NA,78.97104529,464.730872,275.4425352,70.2365453,240.2827358,NA
"217","03.06.2019",6,22.225,12,21,NA,NA,NA,NA,NA,NA,NA
"218","03.07.2012",3,20.5375,12,NA,NA,NA,NA,NA,NA,NA,NA
"219","03.07.2013",7,21.075,6,61,NA,111.8855935,427.3432587,210.2602415,69.26272806,305.5230723,18.57445779
"220","03.07.2014",7,20.4,9,NA,NA,158.2105891,417.5825052,153.5367972,62.01332226,312.1209964,NA
"221","03.07.2015",1,25.625,10,NA,NA,144.9518133,432.8882873,160.2047023,90.67628814,294.9708761,NA
"222","03.07.2016",4,17.125,12,61,NA,69.22087256,549.8017081,198.5757248,85.28393739,318.0005004,NA
"223","03.07.2017",7,18.625,14,95,NA,144.5899694,373.2678765,187.7177649,84.50482684,265.352384,NA
"224","03.07.2018",0,22.4875,9,5,NA,169.6782536,456.4884276,166.3573913,86.55705924,375.1837772,NA
"225","03.07.2019",5,16.5,13,21,NA,NA,NA,NA,NA,NA,NA
"226","03.08.2012",4,20.6875,10,91,NA,NA,NA,NA,NA,NA,NA
"227","03.08.2013",4,23.3625,11,63,NA,186.0271788,930.8017032,454.7057808,60.70878576,399.2833164,60.39736792
"228","03.08.2014",5,23.0875,9,63,NA,75.38069298,771.2512818,343.4379228,82.06274003,290.0096913,NA
"229","03.08.2015",0,26,7,NA,NA,146.5715392,626.8317251,281.888463,76.98479062,278.3414453,NA
"230","03.08.2016",7,19.375,9,61,NA,160.9264035,546.6813243,324.0631607,70.57545867,303.6900152,NA
"231","03.08.2017",7,20.125,10,95,NA,159.5753402,483.0682316,290.5004886,74.31414596,284.0670564,NA
"232","03.08.2018",1,27.6625,10,0,NA,186.0746981,568.0458884,332.2956458,79.1704219,281.7286555,NA
"233","03.09.2012",4,19.475,12,NA,NA,NA,NA,NA,NA,NA,NA
"234","03.09.2013",7,18.225,11,21,NA,138.8256189,357.4012857,174.6554913,84.17436827,270.3501239,35.62019747
"235","03.09.2014",2,18.75,13,NA,NA,128.1008821,472.1001942,234.7387456,73.4335227,318.6572549,NA
"236","03.09.2015",3,17.75,8,NA,NA,114.3830668,364.2487486,182.5931191,66.85689948,256.8269204,NA
"237","03.09.2016",5,19.25,12,21,NA,167.8202791,448.5087736,269.4839312,65.93126155,315.3975788,NA
"238","03.09.2017",3,17.4,7,0,NA,55.22213417,479.387641,230.4665749,84.97290096,309.5756297,NA
"239","03.09.2018",2,21.0125,13,21,NA,171.2352941,340.0803974,179.9079103,54.34857806,383.9186219,NA
"240","03.10.2012",7,14.175,12,65,NA,NA,NA,NA,NA,NA,NA
"241","03.10.2013",0,11.7625,12,5,NA,75.23373024,592.5672113,192.2933113,75.30240747,440.8981161,66.33349453
"242","03.10.2014",3,20,6,10,NA,62.59119156,707.739672,269.8271178,79.51778774,392.7822745,NA
"243","03.10.2015",2,14.375,9,0,NA,59.60514138,473.9474285,186.5502577,79.65029753,295.846114,NA
"244","03.10.2016",7,14.375,18,61,NA,62.17464953,484.6360325,182.4438592,82.60378451,349.3118055,NA
"245","03.10.2017",5,14.2625,14,61,NA,66.35547609,430.5165267,217.3800947,64.2844868,284.2912022,NA
"246","03.10.2018",4,12.2875,18,21,NA,55.34279618,429.8599817,250.0870345,83.23107697,326.5438896,NA
"247","03.11.2013",6,10.7,15,21,NA,97.453274,549.6200478,170.0329635,49.0155894,250.8345703,42.22480539
"248","03.11.2014",4,13.75,12,0,NA,137.8228796,385.8934875,152.4620836,80.10276399,318.3590973,NA
"249","03.11.2015",7,5.125,4,45,NA,84.55367,227.3689503,85.74761798,72.47501583,241.4360934,NA
"250","03.11.2016",4,5.875,5,NA,NA,146.2328194,279.9713505,111.8191617,42.66121285,188.2912834,NA
"251","03.11.2017",NA,9.4375,7,NA,NA,117.3260703,317.6610088,139.0560242,90.18105648,222.5472336,NA
"252","03.11.2018",0,8.7,5,10,NA,178.2529528,407.6297752,161.8613769,73.81684341,313.8149273,NA
"253","03.12.2012",8,1.033333,8,10,NA,NA,NA,NA,NA,NA,NA
"254","03.12.2013",8,1.7125,6,28,NA,94.76586521,247.8266217,112.8634859,97.48251744,187.80359,108.8121019
"255","03.12.2014",7,0.625,10,10,NA,133.9908025,263.7077173,107.9668605,70.4651659,246.9371342,NA
"256","03.12.2015",8,9.125,8,61,NA,105.5633307,271.3935167,71.23783841,149.7897344,228.0623126,NA
"257","03.12.2016",4,-0.75,6,49,NA,122.4392075,303.7774319,106.2148278,182.721053,208.2482157,NA
"258","03.12.2017",7,5.225,7,61,NA,77.13762986,434.5638592,172.878605,186.6147347,251.201024,NA
"259","03.12.2018",7,10.825,12,61,NA,134.9829344,242.1571153,106.6232786,70.07120508,179.845683,NA
"260","04.01.2012",4,5.6875,19,80,NA,NA,NA,NA,NA,NA,NA
